t_s,reward_t,episode_return,num_intersections,totalQ_list,avg_delay_list,accidents_list,num_accident_clusters,max_cluster_size
850.0,-4607.666887817661,-2798825.510842264,4,354.7595;998.5771;966.2853;1248.5634,1013.5986;2853.0773;2760.8153;3567.3241,1;1;1;1,0,0
851.0,-4618.843332870836,-2803444.354175135,4,356.1223;1000.9122;969.0863;1250.7574,1017.4922;2859.7492;2768.8179;3573.5925,1;1;1;1,0,0
852.0,-4630.020554994242,-2808074.3747301293,4,357.4850;1003.2480;971.8870;1252.9515,1021.3858;2866.4227;2776.8201;3579.8615,1;1;1;1,0,0
853.0,-4641.198549680762,-2812715.57327981,4,358.8478;1005.5842;974.6877;1255.1458,1025.2793;2873.0978;2784.8220;3586.1309,1;1;1;1,0,0
854.0,-4652.377312461361,-2817367.9505922715,4,360.2105;1007.9210;977.4883;1257.3403,1029.1728;2879.7744;2792.8236;3592.4009,1;1;1;1,0,0
855.0,-4663.556838904666,-2822031.507431176,4,361.5732;1010.2584;980.2887;1259.5350,1033.0663;2886.4526;2800.8249;3598.6714,1;1;1;1,0,0
856.0,-4674.737124616555,-2826706.244555793,4,362.9359;1012.5963;983.0890;1261.7299,1036.9597;2893.1323;2808.8258;3604.9425,1;1;1;1,0,0
857.0,-4685.918165239754,-2831392.1627210327,4,364.2986;1014.9347;985.8892;1263.9249,1040.8531;2899.8135;2816.8263;3611.2140,1;1;1;1,0,0
858.0,-4697.099956453428,-2836089.262677486,4,365.6613;1017.2737;988.6893;1266.1201,1044.7465;2906.4963;2824.8266;3617.4861,1;1;1;1,0,0
859.0,-4708.282493972789,-2840797.5451714587,4,367.0239;1019.6132;991.4893;1268.3155,1048.6398;2913.1806;2832.8265;3623.7586,1;1;1;1,0,0
860.0,-4719.465773548709,-2845517.0109450077,4,368.3866;1021.9532;994.2891;1270.5111,1052.5331;2919.8664;2840.8261;3630.0317,1;1;1;1,0,0
861.0,-4730.6497909673235,-2850247.660735975,4,369.7492;1024.2938;997.0889;1272.7068,1056.4263;2926.5537;2848.8254;3636.3053,1;1;1;1,0,0
862.0,-4741.834542049663,-2854989.4952780246,4,371.1118;1026.6349;999.8885;1274.9028,1060.3195;2933.2425;2856.8243;3642.5793,1;1;1;1,0,0
863.0,-4753.020022651265,-2859742.5153006758,4,372.4744;1028.9765;1002.6880;1277.0989,1064.2126;2939.9328;2864.8229;3648.8539,1;1;1;1,0,0
